,DrugBankIDLabel,UniProtIDLabel,Interaction,Predicted interaction
591,3540,4508,1,0.4729662504506588
592,3540,695,1,0.5199755579544845
593,3540,1254,1,0.5572934194286233
594,3540,3842,1,0.7747942079216876
595,3540,3660,1,0.7488101847048072
596,995,1607,1,0.5210115050783601
597,995,3541,1,0.5144202407633859
598,995,1092,1,0.5153589491514003
599,995,3514,1,0.4801507882634092
600,995,3123,1,0.5446941495672675
601,995,4295,1,0.5207035515262615
602,995,4355,1,0.5065423991922886
603,995,3863,1,0.5560124553159791
604,995,2596,1,0.5137773561908822
605,995,1958,1,0.5380811862464993
606,995,434,1,0.5219828099055014
607,995,4110,1,0.5247167667670198
608,995,3359,1,0.4997245270110421
609,995,990,1,0.4935174990460427
610,995,3067,1,0.5229586696193006
611,995,1029,1,0.5118773352422492
612,995,813,1,0.5335114679346429
613,995,3305,1,0.5268664324664265
614,995,3319,1,0.5505243122246035
615,995,1239,1,0.5361726935613115
616,995,581,1,0.7088738039037445
617,995,3153,1,0.5776554714320609
618,1663,2963,1,0.47940574314159146
619,1663,4608,1,0.5048455403804378
620,1663,4314,1,0.49540323282288284
621,1663,1049,1,0.5108698095360551
622,1663,843,1,0.48838033502145595
623,1663,2825,1,0.5175858798178158
624,1663,3999,1,0.509190359837935
625,1663,1308,1,0.5024030149037961
626,1663,538,1,0.4885114643042111
627,1663,4199,1,0.4951954543256405
628,1663,558,1,0.4713796032997771
629,1663,4056,1,0.5071454531627125
630,1663,299,1,0.4878669395053327
631,1663,1753,1,0.500630621499417
632,5636,1462,1,0.48289407068572926
633,5636,435,1,0.4692183324032398
634,5636,2174,1,0.4486789873585665
635,2909,4585,1,0.5772233876329309
636,2909,3808,1,0.5021867559862164
637,2909,77,1,0.48647469161729207
638,2909,4044,1,0.48283063284031685
639,2909,4178,1,0.6248883945249868
640,2909,104,1,0.5088808879211633
641,2909,3640,1,0.5149669258715641
642,2909,1042,1,0.5027848138801754
643,2909,465,1,0.5157033465275253
644,2909,4625,1,0.4406928748605366
645,2909,1106,1,0.5953804768348492
646,2909,2243,1,0.6216141682034946
647,2909,2022,1,0.48007884965618874
648,2909,524,1,0.5460065432701199
649,2909,3146,1,0.5080017591556646
650,692,2428,1,0.46652673558000535
651,692,4052,1,0.5020278899014186
652,692,3188,1,0.6006907989963604
653,692,1018,1,0.4738655199444797
654,692,4638,1,0.5012307295277796
655,692,4212,1,0.6882647129787154
656,692,183,1,0.5643797384881112
657,692,2092,1,0.6306755107421493
658,692,3019,1,0.7599865333453717
659,692,757,1,0.5912467622133041
660,4851,2883,1,0.46953678434779034
661,4851,1608,1,0.467691968670378
662,4851,2389,1,0.4904130778657099
663,4851,7,1,0.5041635656845436
664,4851,1603,1,0.48562423222928847
665,4851,1101,1,0.49128543744908726
666,4851,2191,1,0.4933249369023507
667,2306,4234,1,0.4895006915315484
668,2306,3173,1,0.48965475630758465
669,2306,3859,1,0.4767661864725156
670,2306,2756,1,0.5167648379655321
671,2306,78,1,0.4626962443272041
672,6573,4525,1,0.46415732033925994
673,6573,3532,1,0.45908494714131226
674,6573,1358,1,0.4931865936587473
675,6573,1261,1,0.48850200398914567
676,3951,3885,1,0.4935250228206987
677,3951,2929,1,0.44498374677472896
678,6409,882,1,0.47614105092953274
679,6409,1900,1,0.478746106927905
680,6409,4606,1,0.4837228497603072
681,6409,1910,1,0.46443831412750486
682,4543,1797,1,0.5372838366872877
683,4543,1440,1,0.5093286378704237
684,4543,4435,1,0.5568139362169544
685,4543,1224,1,0.6298261179390918
686,4543,2921,1,0.5740313207188641
687,4543,993,1,0.5734752459057073
688,4543,1077,1,0.5534643419489352
689,4543,4355,1,0.5395612542789592
690,4543,2390,1,0.5884622435683216
691,4543,2890,1,0.5259936630942745
692,4543,4209,1,0.5290777248692285
693,4543,4370,1,0.5514806031122473
694,4543,2326,1,0.5805396768615129
695,4543,4748,1,0.5985120986877686
696,4543,1316,1,0.613651845801105
697,4543,742,1,0.5178436556727672
698,4543,1188,1,0.5903299743192096
699,4543,2704,1,0.5830850193776392
700,4543,448,1,0.5788093681769565
701,4543,4089,1,0.5536158929218169
702,4543,1386,1,0.5794831021038943
703,4543,2128,1,0.5801750781129251
704,4543,607,1,0.5439527206708894
705,4543,1090,1,0.5517077611063349
706,4543,4381,1,0.5768276069689243
707,4543,3964,1,0.5210336692322313
708,3248,4024,1,0.5127274241696504
709,3248,2924,1,0.4759519623528495
710,3248,3618,1,0.519501538558748
711,1811,2994,1,0.44767358946666236
712,1811,4002,1,0.4713348799455058
713,1811,3924,1,0.43302715584527407
714,1811,574,1,0.4477012979998205
715,1811,1662,1,0.45856281816189687
716,1811,354,1,0.46058869562131427
717,1811,159,1,0.43549383169619005
718,1811,3046,1,0.4387097213739346
719,477,2729,1,0.690294045775582
720,477,882,1,0.6546251293986206
721,477,2104,1,0.5713745048519677
722,477,16,1,0.6608321206239479
723,477,187,1,0.7326985177060665
724,477,2867,1,0.6792916999142455
725,477,3541,1,0.618373399594834
726,477,2453,1,0.7728918574758572
727,477,2144,1,0.6814652570655111
728,477,3886,1,0.7038006003363864
729,477,4065,1,0.9755997157126336
730,477,2302,1,0.6069610308615829
731,477,3123,1,0.6767705575286629
732,477,3113,1,0.8925545081364191
733,477,2608,1,0.8348874888493059
734,477,1189,1,0.9698189415177966
735,477,3194,1,0.8183313449303232
736,477,543,1,0.6145918880281926
737,477,3863,1,0.7017844985116901
738,477,944,1,0.8439474394237938
739,477,1833,1,0.5893501001145713
740,477,2952,1,0.5335906133363386
741,477,2183,1,0.6471496453443821
