DrugBankIDLabel,UniProtIDLabel,Interaction
2465,2804,1
2465,783,1
2465,400,1
2465,4669,1
2465,214,1
2465,3282,1
638,2388,1
638,1257,1
638,2174,1
638,1589,1
638,2227,1
638,2944,1
638,4347,1
638,90,1
638,2125,1
638,1541,1
1508,2021,1
1508,1771,1
1508,2343,1
1508,1524,1
1508,2390,1
1508,63,1
1508,1309,1
1508,841,1
1508,4732,1
1508,2885,1
1508,1233,1
1508,3195,1
1508,186,1
1508,945,1
1508,2186,1
1508,1922,1
1508,2878,1
1508,2399,1
1508,2589,1
1508,3613,1
1508,995,1
1508,1445,1
1508,4750,1
1508,4746,1
1508,4032,1
1508,998,1
1508,1259,1
1508,3839,1
1508,3439,1
1508,4281,1
1508,2433,1
166,3886,1
5016,264,1
873,3137,1
873,1965,1
873,4100,1
873,1669,1
873,4560,1
873,3664,1
5676,2779,1
5676,1808,1
5676,544,1
5676,2414,1
5676,2215,1
5676,3021,1
4223,3852,1
4223,3891,1
4223,4515,1
2784,3004,1
2784,1635,1
2784,17,1
2784,2343,1
2784,8,1
2784,3864,1
2784,2664,1
2784,2238,1
2784,2660,1
2784,1552,1
2784,1744,1
2784,889,1
2784,1136,1
2133,319,1
2133,4318,1
5644,3886,1
3788,3340,1
3788,1181,1
3231,610,1
3231,2688,1
3231,4124,1
3231,4000,1
3231,2109,1
3231,2597,1
3231,3536,1
3231,435,1
3231,4255,1
3231,1386,1
3231,2913,1
3231,1105,1
3231,830,1
5304,1291,1
5304,1390,1
5304,3170,1
7045,1373,1
7045,433,1
7045,1137,1
7045,4379,1
7045,164,1
7045,4644,1
7045,4358,1
7045,1599,1
7045,2114,1
7045,4542,1
7045,978,1
7045,1104,1
7045,1537,1
7045,2105,1
7045,4146,1
7045,3329,1
7045,738,1
7045,2685,1
7045,4393,1
7045,220,1
7045,1956,1
7045,987,1
7045,4010,1
7045,4475,1
7045,1845,1
7045,4675,1
7045,4127,1
7045,1737,1
7045,1225,1
7045,2856,1
7045,1709,1
7045,4194,1
7045,2812,1
7045,4433,1
7045,4725,1
7045,188,1
7045,3737,1
7045,2560,1
7045,4534,1
7045,636,1
7045,1208,1
7045,3910,1
7045,4497,1
7045,2310,1
7045,3456,1
7045,2206,1
7045,4327,1
7045,3678,1
7045,2783,1
7045,759,1
7045,4602,1
7045,4650,1
7045,1165,1
7045,2663,1
7045,4627,1
7045,4596,1
7045,3043,1
7045,1304,1
7045,478,1
7045,1052,1
7045,4163,1
7045,4413,1
7045,700,1
7045,1880,1
7045,1891,1
7045,3284,1
7045,4608,1
7045,3323,1
7045,2205,1
7045,4471,1
7045,3694,1
7045,4308,1
7045,957,1
7045,2283,1
7045,4671,1
7045,2499,1
7045,2697,1
7045,305,1
7045,2819,1
7045,1142,1
7045,416,1
7045,1881,1
7045,3644,1
7045,1193,1
7045,1691,1
7045,4018,1
7045,3810,1
7045,1711,1
7045,1659,1
7045,419,1
7045,1318,1
7045,1098,1
7045,2615,1
7045,1727,1
7045,2123,1
7045,20,1
7045,4648,1
7045,201,1
7045,3300,1
7045,2,1
7045,4747,1
7045,3740,1
7045,230,1
7045,3392,1
7045,1338,1
7045,2664,1
7045,2320,1
7045,1742,1
7045,1888,1
7045,3045,1
7045,1332,1
7045,1034,1
7045,3444,1
7045,1797,1
7045,4535,1
7045,1869,1
7045,3619,1
7045,1923,1
7045,583,1
7045,2443,1
7045,1949,1
7045,3767,1
7045,210,1
7045,3327,1
7045,736,1
7045,4087,1
7045,1860,1
7045,2724,1
7045,3181,1
7045,2916,1
7045,4240,1
7045,3800,1
7045,3811,1
7045,1601,1
7045,4709,1
7045,3806,1
7045,1157,1
7045,4669,1
7045,4528,1
7045,2488,1
7045,1590,1
7045,3620,1
7045,4192,1
7045,2112,1
6933,4289,1
6933,3802,1
6933,2236,1
6063,1181,1
6063,3340,1
6063,3020,1
6063,2093,1
6063,2429,1
6063,456,1
6063,2590,1
6063,770,1
6063,4053,1
6063,3189,1
6063,4213,1
277,1771,1
277,1635,1
277,2454,1
277,3970,1
277,2390,1
277,2506,1
277,2438,1
277,2186,1
277,3253,1
277,1929,1
277,2015,1
277,3716,1
277,3521,1
5623,577,1
5623,544,1
5623,1919,1
2537,486,1
2537,422,1
2537,4187,1
2537,1727,1
2537,3392,1
2537,2320,1
2537,1034,1
2537,430,1
2537,1836,1
2537,660,1
2537,3094,1
2537,142,1
2537,3649,1
2537,4075,1
2537,3666,1
2537,567,1
2537,1422,1
2537,3184,1
6213,3652,1
6213,1265,1
6213,2752,1
6213,4094,1
6213,1166,1
6213,3901,1
6213,2227,1
6213,561,1
6213,2361,1
6213,74,1
6517,264,1
7320,1698,1
7320,2173,1
7320,4647,1
241,4107,1
241,544,1
241,4263,1
241,2215,1
241,2170,1
661,4241,1
661,3189,1
661,3018,1
1623,3886,1
3156,2609,1
3156,2904,1
3156,1168,1
3156,1299,1
3156,3295,1
3156,3379,1
3156,4098,1
3156,2366,1
3156,4438,1
3156,3804,1
3156,2310,1
3156,1004,1
3156,1329,1
4101,4642,1
4101,977,1
4101,906,1
4101,3727,1
4101,955,1
4101,1861,1
4101,3542,1
4101,4033,1
4101,4362,1
4101,78,1
4101,3865,1
4101,398,1
4101,4045,1
4101,3524,1
4101,2039,1
4101,3366,1
4101,1815,1
4101,3034,1
4101,3711,1
4101,1200,1
4101,2765,1
4101,105,1
4101,3587,1
4101,2597,1
4101,487,1
4101,3641,1
4101,3689,1
4101,1043,1
4101,2905,1
4101,316,1
4101,4,1
4101,4533,1
4101,2263,1
4101,3939,1
4101,3933,1
4101,4039,1
4101,205,1
4101,2920,1
4101,1555,1
4101,1221,1
4101,3961,1
4101,12,1
6077,1441,1
6077,2868,1
6077,2206,1
6077,1158,1
6077,1345,1
6077,3811,1
6077,3532,1
6077,3228,1
6077,434,1
6077,2327,1
6077,4749,1
6077,1317,1
6077,2705,1
6077,4112,1
6077,2385,1
6077,739,1
6077,3293,1
6077,1508,1
6077,3416,1
6077,2403,1
6077,3454,1
6077,3409,1
1773,2897,1
1773,2931,1
1773,1123,1
1773,61,1
1773,3338,1
1773,1132,1
1773,1572,1
1773,3600,1
1773,1063,1
1773,4364,1
1773,4342,1
6710,3542,1
6710,93,1
6710,1303,1
6710,3904,1
6710,3306,1
6710,3712,1
434,1888,1
2780,1759,1
